sep=|
ESTADO|DISTRITO|PARTIDO|CANDIDATO_PROPIETARIO|CANDIDATO_SUPLENTE
0|0|MOVIMIENTO CIUDADANO|LETICIA HERNANDEZ SALMERON| 
0|0|MOVIMIENTO CIUDADANO|RODOLFO HERNANDEZ MIRANDA| 
0|0|MOVIMIENTO CIUDADANO|CONNIE ROSANELY ALAVEZ LUNA| 
0|0|MOVIMIENTO CIUDADANO|JUAN CARLOS HERNANDEZ AGUILAR| 
0|0|MOVIMIENTO CIUDADANO|JASMIN ROCHA ALARCON| 
0|0|MOVIMIENTO CIUDADANO|ANGEL JAVIER OCAMPO ZAVALETA| 
0|0|MOVIMIENTO CIUDADANO|CRUZ ERLYN LOPEZ RIVAS| 
0|0|MOVIMIENTO CIUDADANO|GERARDO GIL CORDOVA| 
0|0|MOVIMIENTO CIUDADANO|MARTHA JURADO MANCERA| 
0|0|MOVIMIENTO CIUDADANO|JOSE IVAN RESENDIZ CABANZO| 
0|0|MOVIMIENTO CIUDADANO|BEATRIZ RAMIREZ HINOJOSA| 
0|0|MOVIMIENTO CIUDADANO|HECTOR JESUS NIEVES HERNANDEZ| 
0|0|MOVIMIENTO CIUDADANO|PATSI VANESSA TISCAREÑO HERNANDEZ| 
0|0|MOVIMIENTO CIUDADANO|JOSE LUIS MARTINEZ ESQUERRA| 
0|0|MOVIMIENTO CIUDADANO|MARGARITA BAHENA OCAMPO| 
0|0|MOVIMIENTO CIUDADANO|JUAN EMILIO BELLO ROMERO| 
0|0|MOVIMIENTO CIUDADANO|NORMA TAGLE MARROQUIN| 
0|0|MOVIMIENTO CIUDADANO|MIGUEL OSBALDO JIMENEZ SANTAMARIA| 
0|0|MOVIMIENTO CIUDADANO|MARIA DEL PILAR SOLORZANO BERNAL| 
0|0|MOVIMIENTO CIUDADANO|FERNANDO VALERO ORTIZ| 
0|0|NUEVA ALIANZA|GABRIEL RICARDO QUADRI DE LA TORRE| 
0|0|NUEVA ALIANZA|EDDA ALEJANDRA BEATRIZ MORENO Y TOSCANO| 
0|0|NUEVA ALIANZA|FELIX EUGENIO SANCHEZ AGUILAR| 
0|0|NUEVA ALIANZA|HILDA OLIVIA PEREZ RAMIREZ| 
0|0|NUEVA ALIANZA|FADALALA AKABANI HNEIDE| 
0|0|NUEVA ALIANZA|AMALIA BIO JIMENEZ| 
0|0|NUEVA ALIANZA|OSCAR MORENO RAMOS| 
0|0|NUEVA ALIANZA|SAMANTHA CAROLINA GOMES FONSECA| 
0|0|NUEVA ALIANZA|RAMON ALFREDO SANCHEZ ZEPEDA| 
0|0|NUEVA ALIANZA|MARIA GUADALUPE GUERRERO SAUCEDO| 
0|0|NUEVA ALIANZA|SAMUEL OBED HERNANDEZ SALINAS| 
0|0|NUEVA ALIANZA|ANA MARIA VICTORIA LARA RAMIREZ| 
0|0|NUEVA ALIANZA|ERICK JESUS CARO CAMPA| 
0|0|NUEVA ALIANZA|ZURISADAI CAMACHO CONTRERAS| 
0|0|NUEVA ALIANZA|GIOVANI SERNA ROSALES| 
0|0|NUEVA ALIANZA|ESTHER CALDIÑO MERIDA| 
0|0|NUEVA ALIANZA|LUCIANO QUADRI BARBA| 
0|0|NUEVA ALIANZA|MARIA DE LOURDES TRINIDAD CABRERA| 
0|0|NUEVA ALIANZA|RANDOLFO HERNANDEZ MARTINEZ| 
0|0|NUEVA ALIANZA|PATRICIA PEDRAZA ZUÑIGA| 
0|0|NUEVA ALIANZA|GERARDO BACHIR MESTRE REYES| 
0|0|NUEVA ALIANZA|CLAUDIA IVONNE MENDOZA PEREGRINA| 
0|0|NUEVA ALIANZA|VALENTIN EDUARDO MALPICA RODRIGUEZ| 
0|0|NUEVA ALIANZA|MARIA DEL CARMEN RAMIREZ LOPEZ| 
0|0|NUEVA ALIANZA|ALBERTO SANDOVAL POBLANO| 
0|0|NUEVA ALIANZA|MA. CONCEPCION GARCIA DE LA ROSA| 
0|0|NUEVA ALIANZA|ANTONIO YANNIC MARTINEZ SANCHEZ| 
0|0|NUEVA ALIANZA|ESPERANZA OJEDA OLVERA| 
0|0|NUEVA ALIANZA|LUIS ANTONIO VALDEZ VAZQUEZ| 
0|0|NUEVA ALIANZA|ANEL JANNETH CARPIO MORALES| 
